ID,Date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,t
AS14.05,2014-04-14,6.4,-1.2,74.099,,,,,,,,,,,,,,,,,57.0
AS14.05,2014-04-15,7.0,0.2,11.224,,,,,,,,,,,,,,,,,58.0
AS14.05,2014-04-16,7.2,-0.6,23.194,,,,,,,,,,,,,,,,,59.0
AS14.05,2014-04-17,6.6,0.4,40.364,,,,,,,,,,,,,,,,,60.0
AS14.05,2014-04-18,7.5,0.25,3.028,,,,,,,,,,,,,,,,,61.0
AS14.05,2014-04-19,7.2,-0.8,14.285,,,,,,,,,,,,,,,,,62.0
AS14.05,2014-04-20,7.2,-1.2,109.91999999999999,,,,,,,,,,,,,,,,,63.0
AS14.05,2014-04-21,7.2,-0.6,215.02900000000002,,,,,,,,,,,,,,,,,64.0
AS14.05,2014-04-22,7.2,0.4,12.18,,,,,,,,,,,,,,,,,65.0
AS14.05,2014-04-23,7.2,-1.0,0.0,,,,,,,,,,,,,,,,,66.0
AS14.05,2014-04-24,7.2,-0.75,10.037,,,,,,,,,,,,,,,,,67.0
AS14.05,2014-04-25,7.2,-1.2,35.265,,,,,,,,,,,,,,,,,68.0
AS14.05,2014-04-26,7.8,-0.8,72.45899999999999,,,,,,,,,,,,,,,,,69.0
AS14.05,2014-04-27,7.4,-0.6,78.758,,,,,,,,,,,,,,,,,70.0
AS14.05,2014-04-28,7.0,-0.6,3.01,,,,,,,,,,,,,,,,,71.0
AS14.05,2014-04-29,6.8,0.4,10.123999999999999,,,,,,,,,,,,,,,,,72.0
AS14.05,2014-04-30,7.0,-0.6,10.068,,,,,,,,,,,,,,,,,73.0
AS14.05,2014-05-01,6.8,-0.2,0.0,,,,,,,,,,,,,,,,,74.0
AS14.05,2014-05-02,7.0,-0.2,42.229,,,,,,,,,,,,,,,,,75.0
AS14.05,2014-05-03,6.75,0.25,9.075,,,,,,,,,,,,,,,,,76.0
AS14.05,2014-05-04,7.0,0.25,26.158,,,,,,,,,,,,,,,,,77.0
AS14.05,2014-05-05,6.333333333333333,-0.3333333333333333,10.221,,,,,,,,,,,,,,,,,78.0
AS14.06,2014-03-24,7.0,-1.0,292.297,,,,,,,,,,,,,,,,,36.0
AS14.06,2014-03-25,7.0,-0.2,874.7320000000001,,,,,,,,,,,,,,,,,37.0
AS14.06,2014-03-26,8.0,0.5,564.176,,,,,,,,,,,,,,,,,38.0
AS14.06,2014-03-27,7.0,0.25,0.0,,,,,,,,,,,,,,,,,39.0
AS14.06,2014-03-28,7.6,-0.2,80.015,,,,,,,,,,,,,,,,,40.0
AS14.06,2014-03-29,7.8,0.0,0.0,,,,,,,,,,,,,,,,,41.0
AS14.06,2014-03-30,7.8,0.0,4.859,,,,,,,,,,,,,,,,,42.0
AS14.06,2014-03-31,7.0,-0.2,0.0,,,,,,,,,,,,,,,,,43.0
AS14.06,2014-04-01,7.75,0.0,0.0,,,,,,,,,,,,,,,,,44.0
AS14.06,2014-04-02,6.8,-0.6,0.0,,,,,,,,,,,,,,,,,45.0
AS14.06,2014-04-03,7.2,0.0,0.0,,,,,,,,,,,,,,,,,46.0
AS14.06,2014-04-04,7.0,-0.4,0.0,,,,,,,,,,,,,,,,,47.0
AS14.06,2014-04-05,7.0,-0.4,0.0,,,,,,,,,,,,,,,,,48.0
